source_id,ra_gaia,dec_gaia,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe,distance_pc,absolute_g_mag,obsid,designation,gaia_source_id,ra_lamost,dec_lamost,snrg,class,subclass,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,id_match_sep_arcsec,pm_total,tangential_velocity_kms,reduced_pm_g,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate
3084435715722918016,120.8391256356702,0.4969185076573287,1.4271341210135098,53.955265,-0.2754848858134979,-6.810909563424999,14.251328,0.98536396,1.0647272,700.7049900046035,5.023652416863531,869902067,J080321.38+002948.9,3084435715722918016,120.839092,0.49694,79.83,STAR,K1,5326.23,35.68,4.332,0.05,0.379,0.03,68.68,4.81,0.1436934037429592,6.816478636617721,22.64209930008486,8.419128389679154,metal_rich,False,False,False
3084464165586456704,121.0743700136528,0.7123402563724351,2.7527034092590834,184.60127,-25.16667471794847,21.318897071791408,12.526819,0.74364185,1.0186651,363.27923910595206,4.725616332839586,122505097,J080417.85+004244.3,3084464165586456704,121.07438,0.712313,82.71,STAR,G2,5896.26,27.41,4.327,0.038,-0.538,0.023,27.57,3.72,0.1045005997908063,32.982675584565044,56.79993841779237,10.118248415499487,metal_poor,False,True,False
3084467842078409216,121.36545505689448,0.7410036924340304,1.3439451740406452,89.25643,7.025100409016369,-6.2310796035645515,12.988273,0.7290411,0.9525498,744.0779723129962,3.630180427568991,122505090,J080527.70+004427.7,3084467842078409216,121.36544,0.741028,62.04,STAR,G2,5987.1,31.17,4.261,0.044,-0.271,0.027,-36.05,4.16,0.1029329281835873,9.39033485998876,33.122333822513994,7.851678397567143,solar_like,False,False,False
3084603459966609536,121.86120837980984,1.2434460269368903,1.561612526946872,83.39438,-6.031862732888689,-2.6962637679180004,13.16406,0.84379387,1.2344251,640.363715546719,4.1319260597822485,122508192,J080726.69+011436.4,3084603459966609536,121.86122,1.2434681,53.99,STAR,F9,5752.83,36.83,4.225,0.053,0.264,0.032,41.05,4.96,0.0897971162530158,6.607057312798094,20.056548240449374,7.264100370521078,metal_rich,False,False,False
3084629367209159552,121.46279094424774,1.2137657965285964,1.9778905880734636,89.13562,-1.2033957191305316,-7.482647153276159,14.492596,1.0720911,1.0088987,505.5891392728836,5.973606991850065,869905111,J080551.06+011249.8,3084629367209159552,121.46277,1.213838,86.61,STAR,G9,5112.88,32.19,4.742,0.045,-0.06,0.027,-3.55,4.41,0.2706425782841232,7.5787973767117895,18.164332151140467,8.890597480604157,solar_like,False,False,False
3084625140961336192,121.56838937110416,1.1636980612295011,1.0044110149139336,45.370056,1.4411909689571836,-4.52204206739471,14.495269,1.0082836,1.0340714,995.6083566902026,4.504826155591129,869905146,J080616.40+010949.4,3084625140961336192,121.56836,1.163736,94.0,STAR,K0,5315.09,31.22,4.328,0.043,0.361,0.025,-23.57,4.38,0.1727120868874675,4.746145369485765,22.400152333667993,7.876974180361767,metal_rich,False,False,False
3084740624041868800,120.4280019101163,1.1896378052653878,0.7522732876215349,32.804413,-1.771367941962688,2.6841427547787964,14.179438,1.1077881,0.9466904,1329.3041457868371,3.5613158412506856,869905193,J080142.72+011122.6,3084740624041868800,120.428015,1.189635,102.47,STAR,K1,5102.51,33.59,3.879,0.046,0.117,0.027,87.96,4.85,0.0481836448502502,3.215955023604129,20.265425559566623,6.715987831698717,solar_like,False,False,False
3084848268803569408,120.6584169368498,1.4866584927703048,2.618789341609613,192.85417,-29.24914803211177,0.944586812431409,12.221726,0.7947321,0.85995334,381.8558385400178,4.312229240984765,122503042,J080238.02+012912.0,3084848268803569408,120.65845,1.4866738,91.85,STAR,G2,5684.45,36.89,4.105,0.051,-0.407,0.03,75.98,5.13,0.1311283561559124,29.264396540004153,52.97371257083486,9.553423864863607,solar_like,False,False,False
3084751584798365184,120.47746651427792,1.3543278965942502,2.2925437957207024,116.40663,-27.32309967631761,7.987159119388312,11.864545,0.75856686,1.0446632,436.19668329417107,3.6661330734034223,115112029,J080154.61+012115.5,3084751584798365184,120.47757,1.354309,54.19,STAR,G2,5924.9,21.31,4.068,0.03,-0.154,0.018,35.49,2.87,0.3786062601621366,28.466585441889855,58.862558936324795,9.136221883911814,solar_like,False,False,False
3084751584798365184,120.47746651427792,1.3543278965942502,2.2925437957207024,116.40663,-27.32309967631761,7.987159119388312,11.864545,0.75856686,1.0446632,436.19668329417107,3.6661330734034223,334205177,J080154.61+012115.4,3084751584798365184,120.477583,1.354291,69.48,STAR,G2,5915.13,45.5,4.041,0.064,-0.195,0.038,34.03,6.07,0.4397706477279746,28.466585441889855,58.862558936324795,9.136221883911814,solar_like,False,False,False
