source_id,umap_1,umap_2,feh,bp_rp,absolute_g_mag,tangential_velocity_kms,rv,galcen_vtot_kms,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate,umap_dbscan_label
3083668909442261888,5.098709,7.691142,-0.514,0.74975014,3.902303131712926,43.59070443510701,63.82,175.9545275057298,metal_poor,False,True,False,0
3084095107636669440,7.7254553,6.874355,-0.112,0.7706728,4.139692289475901,36.76760335989916,23.47,235.90637954671507,solar_like,False,False,False,0
3090894590623140352,7.792455,2.6794057,-0.398,1.5105209,7.265262602898742,17.339807307703857,8.37,227.56932061191785,solar_like,False,False,False,0
3084846108438716928,8.112061,9.217034,-0.862,0.32123375,1.631044492947311,64.97655178125221,93.21,253.21629502740856,metal_poor,False,True,False,0
3090119228763591680,9.217301,8.895466,-0.441,0.61953163,3.499733430351716,43.28697632318913,22.45,257.131347910524,solar_like,False,False,False,0
3083685505195851008,6.407691,7.5422263,-0.49,0.7148733,3.316810542284685,37.53084777848347,31.43,199.54473710175756,solar_like,False,False,False,0
3084046415589985152,7.5409675,5.648319,0.118,0.60763836,2.71092946736662,32.50489145788341,17.09,211.2188158631248,solar_like,False,False,False,0
3090677540154435456,9.480693,3.7344646,-0.17,0.99815464,5.64828284238299,1.5118511554417184,-34.8,269.91427208519093,solar_like,False,False,False,0
3089845759606987392,9.97334,4.522642,0.047,0.7065382,4.135232595766109,7.403033718208308,-16.14,253.2299490706801,solar_like,False,False,False,0
3084454957176525568,7.7887526,2.842483,-0.207,1.3545456,6.330714016931584,29.764715498758907,7.12,220.46346003153863,solar_like,False,False,False,0
3084039169982689920,6.8653736,6.1697307,0.311,0.9584732,4.916189756456513,45.93460340614327,7.12,230.62012351668457,metal_rich,False,False,False,0
3089970210579118976,6.1470513,8.183836,-0.023,0.6575813,2.3287859531503923,7.170144487061054,63.01,205.8849100431677,solar_like,False,False,False,0
3089748315388145920,8.54452,9.413594,-0.219,0.64022636,2.960676793177196,58.51848911256736,45.25,245.77206928817895,solar_like,False,False,False,0
3084524879243820544,7.730434,5.836533,0.11,0.6721468,3.5551285545198006,19.095266894682,12.33,227.4450683852046,solar_like,False,False,False,0
3084831608629138816,3.359048,7.6637177,-0.16,1.2815876,1.23487057480677,121.96357460213066,-37.94,207.88691746388545,solar_like,True,False,False,0
3083828854023353728,2.347292,8.806636,-0.259,1.2286835,1.523465801248996,25.103579922536213,57.92,200.1097870860571,solar_like,False,False,False,0
3083737422759840896,0.6061719,9.661685,-0.144,1.1868277,0.6688823179686008,23.47346528196732,30.64,246.40559823977625,solar_like,False,False,False,0
3084569615624180480,1.9337467,7.663389,-0.05,1.1656857,2.3763901227303315,47.02058655397358,22.9,195.96426037422088,solar_like,False,False,False,0
3089762883918526336,7.9120746,9.152786,-0.505,0.613451,3.2472119933658767,62.042094581785406,69.23,235.61705949697665,metal_poor,False,True,False,0
3084609919597401600,5.4093676,6.278381,0.161,0.90587234,3.4312168800733645,34.955395450738884,72.59,175.85540351873593,solar_like,False,False,False,0
3089810914535904256,7.1241736,6.0690184,0.116,0.6660452,2.300172385849931,9.870454615678758,39.61,222.01394281965403,solar_like,False,False,False,0
3089980930817523072,7.399808,2.8304925,-0.07,1.3658028,6.745062815105241,34.387330850325135,35.0,235.4951328008094,solar_like,False,False,False,0
3084098440531260416,8.08621,3.5540152,0.129,1.1172724,5.9788852962806,7.011670957794975,20.91,238.44401202223543,solar_like,False,False,False,0
3089726428234927104,1.8132752,7.505148,0.066,1.1473379,2.930906286885792,46.94434003101689,16.41,201.2485845657505,solar_like,False,False,False,0
3090698293436147456,2.0616307,10.05516,-0.443,1.1365147,2.158799333189915,34.211085247934406,87.75,227.07549966949952,solar_like,False,False,False,0
3084878887629036544,7.7572484,7.2763286,-0.289,0.7385082,4.435589779208634,41.988800943033254,27.26,223.44807921253573,solar_like,False,False,False,0
3084918435687733248,6.9489107,6.4191175,-0.036,0.8086443,3.418152183632909,54.06368373343796,9.35,221.94745551405924,solar_like,False,False,False,0
3084892975121687168,8.186496,7.0742407,-0.336,0.6825552,3.0376641200202172,58.086584626369465,5.05,220.32689319216968,solar_like,False,False,False,0
3089560225884962176,0.046523113,8.569836,0.012,1.2783356,0.5993027345090063,27.80111246925051,-4.17,265.5475666092119,solar_like,False,False,False,0
3090697262644005120,6.253761,5.609799,0.581,1.0002241,3.60989744082487,45.49431553429325,29.3,193.44166425001353,metal_rich,False,False,False,0
